1,linear,100,87700,17367,2026-07-31T10:52:52.885902100
2,linear,100,3200,17367,2026-07-31T10:52:52.902592300
3,linear,100,4300,17367,2026-07-31T10:52:52.904592
4,binary,100,30968000,17367,2026-07-31T10:52:52.958757700
5,binary,100,65700,17367,2026-07-31T10:52:52.959750400
6,binary,100,48600,17367,2026-07-31T10:52:52.961748700
7,selection,100,196900,17367,2026-07-31T10:52:52.962750700
8,selection,100,155600,17367,2026-07-31T10:52:52.962750700
9,selection,100,161100,17367,2026-07-31T10:52:52.963752900
10,insertion,100,151800,17367,2026-07-31T10:52:52.964751700
11,insertion,100,83200,17367,2026-07-31T10:52:52.965752200
12,insertion,100,112800,17367,2026-07-31T10:52:52.965752200
13,merge,100,106500,17367,2026-07-31T10:52:52.969751800
14,merge,100,91900,17367,2026-07-31T10:52:52.970753
15,merge,100,28800,17367,2026-07-31T10:52:52.972753300
16,quick,100,68800,17367,2026-07-31T10:52:52.973749600
17,quick,100,72100,17367,2026-07-31T10:52:52.973749600
18,quick,100,63400,17367,2026-07-31T10:52:52.974749100
19,linear,500,7900,17367,2026-07-31T10:52:52.976754600
20,linear,500,7800,17367,2026-07-31T10:52:52.977749800
21,linear,500,7300,17367,2026-07-31T10:52:52.977749800
22,binary,500,340500,17367,2026-07-31T10:52:52.979752700
23,binary,500,249700,17367,2026-07-31T10:52:52.980748300
24,binary,500,307200,17367,2026-07-31T10:52:52.981749700
25,selection,500,3620500,17367,2026-07-31T10:52:52.986754600
26,selection,500,2760600,17367,2026-07-31T10:52:52.990753500
27,selection,500,667900,17367,2026-07-31T10:52:52.993752200
28,insertion,500,2525200,17367,2026-07-31T10:52:52.997758300
29,insertion,500,1818700,17367,2026-07-31T10:52:52.999761
30,insertion,500,324400,17367,2026-07-31T10:52:53.001752700
31,merge,500,92000,17367,2026-07-31T10:52:53.002750600
32,merge,500,111200,17367,2026-07-31T10:52:53.003750200
33,merge,500,85900,17367,2026-07-31T10:52:53.003750200
34,quick,500,86000,17367,2026-07-31T10:52:53.004750200
35,quick,500,56200,17367,2026-07-31T10:52:53.005755400
36,quick,500,65000,17367,2026-07-31T10:52:53.006751100
37,linear,1000,10200,17367,2026-07-31T10:52:53.007751100
38,linear,1000,10600,17367,2026-07-31T10:52:53.008750500
39,linear,1000,17200,17367,2026-07-31T10:52:53.009750
40,binary,1000,662800,17367,2026-07-31T10:52:53.010748700
41,binary,1000,605300,17367,2026-07-31T10:52:53.011747800
42,binary,1000,273100,17367,2026-07-31T10:52:53.012748900
43,selection,1000,1627400,17367,2026-07-31T10:52:53.015747300
44,selection,1000,642600,17367,2026-07-31T10:52:53.016748300
45,selection,1000,611400,17367,2026-07-31T10:52:53.018748500
46,insertion,1000,397100,17367,2026-07-31T10:52:53.019748700
47,insertion,1000,437900,17367,2026-07-31T10:52:53.020748700
48,insertion,1000,795100,17367,2026-07-31T10:52:53.021750100
49,merge,1000,203000,17367,2026-07-31T10:52:53.023748400
50,merge,1000,195300,17367,2026-07-31T10:52:53.024748200
51,merge,1000,234100,17367,2026-07-31T10:52:53.025764300
52,quick,1000,189400,17367,2026-07-31T10:52:53.026752700
53,quick,1000,128200,17367,2026-07-31T10:52:53.027762900
54,quick,1000,156500,17367,2026-07-31T10:52:53.028751600
55,linear,5000,74100,17367,2026-07-31T10:52:53.029750700
56,linear,5000,70100,17367,2026-07-31T10:52:53.030753600
57,linear,5000,60400,17367,2026-07-31T10:52:53.031754400
58,binary,5000,2571000,17408,2026-07-31T10:52:53.035758400
59,binary,5000,995600,17427,2026-07-31T10:52:53.038749400
60,binary,5000,574800,17447,2026-07-31T10:52:53.039751900
61,selection,5000,16455200,17466,2026-07-31T10:52:53.058757800
62,selection,5000,11828900,17486,2026-07-31T10:52:53.071745100
63,selection,5000,16891900,17505,2026-07-31T10:52:53.089746
64,insertion,5000,8534000,18016,2026-07-31T10:52:53.099749300
65,insertion,5000,2604900,18016,2026-07-31T10:52:53.102746300
66,insertion,5000,2001500,18016,2026-07-31T10:52:53.105746200
67,merge,5000,551900,18016,2026-07-31T10:52:53.107748600
68,merge,5000,1168700,18016,2026-07-31T10:52:53.109747500
69,merge,5000,619000,18016,2026-07-31T10:52:53.110747500
70,quick,5000,493600,18016,2026-07-31T10:52:53.112747500
71,quick,5000,546900,18016,2026-07-31T10:52:53.113746700
72,quick,5000,668600,18016,2026-07-31T10:52:53.115750800
73,linear,10000,42700,18016,2026-07-31T10:52:53.116749300
74,linear,10000,22300,18016,2026-07-31T10:52:53.117753200
75,linear,10000,17000,18016,2026-07-31T10:52:53.118750200
76,binary,10000,2272000,18016,2026-07-31T10:52:53.121749200
77,binary,10000,1223500,18016,2026-07-31T10:52:53.123751400
78,binary,10000,1598600,18016,2026-07-31T10:52:53.126752
79,selection,10000,67385800,18432,2026-07-31T10:52:53.195751
80,selection,10000,28976700,18432,2026-07-31T10:52:53.225752200
81,selection,10000,24246600,18432,2026-07-31T10:52:53.251750100
82,insertion,10000,9155600,18432,2026-07-31T10:52:53.261747600
83,insertion,10000,12234400,18432,2026-07-31T10:52:53.275749700
84,insertion,10000,11465200,18432,2026-07-31T10:52:53.289745900
85,merge,10000,1589300,18432,2026-07-31T10:52:53.292750100
86,merge,10000,1410500,18432,2026-07-31T10:52:53.294750800
87,merge,10000,1673900,18510,2026-07-31T10:52:53.297744700
88,quick,10000,1087400,18549,2026-07-31T10:52:53.302752800
89,quick,10000,1050800,19061,2026-07-31T10:52:53.304749
90,quick,10000,898400,19061,2026-07-31T10:52:53.305745900
91,linear,100,3026300,13834,2026-07-31T11:20:06.888153300
92,linear,100,4100,13834,2026-07-31T11:20:06.926148600
93,linear,100,4000,13834,2026-07-31T11:20:06.927150300
94,binary,100,3084900,13834,2026-07-31T11:20:06.933145800
95,binary,100,54400,13834,2026-07-31T11:20:06.934146700
